Date,High,Low,Open,Close,Volume,Adj Close,ticker
2018-01-02,64.73999786376953,64.05000305175781,64.20999908447266,64.73999786376953,13722800.0,61.848426818847656,XLK
2018-01-03,65.31999969482422,64.79000091552734,64.86000061035156,65.27999877929688,11331800.0,62.364315032958984,XLK
2018-01-04,65.77999877929688,65.38999938964844,65.54000091552734,65.61000061035156,10746600.0,62.6795768737793,XLK
2018-01-05,66.36000061035156,65.81999969482422,65.94999694824219,66.30000305175781,9678000.0,63.3387451171875,XLK
2018-01-08,66.66999816894531,66.2300033569336,66.2699966430664,66.55000305175781,6733900.0,63.57759475708008,XLK
2018-01-09,66.69999694824219,66.2699966430664,66.68000030517578,66.37999725341797,10606400.0,63.41518020629883,XLK
2018-01-10,66.16999816894531,65.83000183105469,66.0199966430664,66.1500015258789,10407800.0,63.1954460144043,XLK
2018-01-11,66.44999694824219,66.13999938964844,66.30000305175781,66.41999816894531,7887800.0,63.453392028808594,XLK
2018-01-12,66.9000015258789,66.25,66.33999633789062,66.80999755859375,8154300.0,63.82598114013672,XLK
2018-01-16,67.45999908447266,66.37999725341797,67.22000122070312,66.55000305175781,18221800.0,63.57759475708008,XLK
2018-01-17,67.61000061035156,66.70999908447266,66.93000030517578,67.55000305175781,14688100.0,64.53292083740234,XLK
2018-01-18,67.8499984741211,67.48999786376953,67.55000305175781,67.66999816894531,14922900.0,64.6475601196289,XLK
2018-01-19,67.91000366210938,67.44999694824219,67.80000305175781,67.80000305175781,11947200.0,64.77175903320312,XLK
2018-01-22,68.47000122070312,67.61000061035156,67.75,68.45999908447266,9002100.0,65.40228271484375,XLK
2018-01-23,68.9000015258789,68.54000091552734,68.68000030517578,68.76000213623047,10230100.0,65.68888854980469,XLK
2018-01-24,69.05999755859375,68.0,68.94000244140625,68.2300033569336,18509500.0,65.18254852294922,XLK
2018-01-25,68.72000122070312,67.94000244140625,68.66000366210938,68.11000061035156,12975900.0,65.06790924072266,XLK
2018-01-26,69.19000244140625,68.43000030517578,68.58000183105469,69.19000244140625,10048600.0,66.09968566894531,XLK
2018-01-29,68.98999786376953,68.47000122070312,68.98999786376953,68.55999755859375,27589900.0,65.49781036376953,XLK
2018-01-30,68.33999633789062,67.76000213623047,68.0,67.94000244140625,14831200.0,64.90550994873047,XLK
